Case 1 - Low Confidence ( 2393 )
==================================================
HYPONYM(europe, cities)
HYPONYM(members, other_public_officials)
HYPONYM(the_limestone_electric_generating_station, texas)
HYPONYM(theodore_roosevelt_national_park, areas)
HYPONYM(some_council_members, advocates)
HYPONYM(the_large-scale_entry, cooperation)
HYPONYM(convention_passes, perks)
HYPONYM(macintoshes, combined_unit_volume)
HYPONYM(andrew_h._card_jr., top_advisers)
HYPONYM(mitsubishi_motors_north_american, companies)
HYPONYM(''no, city)
HYPONYM(spinal_cord_injuries, devastating_conditions)
HYPONYM(two_meals, a_night)
HYPONYM(hawaii, some_areas)
HYPONYM(the_new_york_times, the_day)
HYPONYM(the_missing_persons, heroes)
HYPONYM(hoes, needed_supplies)
HYPONYM(roger_tory_peterson, past_recipients)
HYPONYM(a_child, two_afghans)
HYPONYM(indians, south_asians)
HYPONYM(the_air-conditioner, appliances)
HYPONYM(a_labor-intensive_babka, 100_recipes)
HYPONYM(mr._wildmann, analysts)
HYPONYM(sting, a_hit)
HYPONYM(hertz, nine_companies)
HYPONYM(charles_feldman, a_group)
HYPONYM(government_funds, sources)
HYPONYM(business_taxes, broad-based_taxes)
HYPONYM(the_centers, future_attacks)
HYPONYM(bolts, household_items)
HYPONYM(the_chorus, other_participants)
HYPONYM(shearith_israel, the_park)
HYPONYM(bankruptcy_protections, single_americans)
HYPONYM(a_huge_new_health_program, assistance)
HYPONYM(military_contractors, civilian_employers)
HYPONYM(the_radio_host_rush_limbaugh, some_commentators)
HYPONYM(jurors, key_players)
HYPONYM(berlin_cameron/_red_cell, other_markets)
HYPONYM(the_detention_center, prison_officers)
HYPONYM(an_appearance, television)
HYPONYM(a_mazda_sports_utility_vehicle, new_vehicles)
HYPONYM(dr._burr, members)
HYPONYM(abc, every_network)
HYPONYM(the_brain, the_body)
HYPONYM(mr._brahimi, top_shiite_leaders)
HYPONYM(homeowners, early_adopters)
HYPONYM(mike_weir, field)
HYPONYM(heidelberger, heidelberger_druckmaschinen)
HYPONYM(a_car_mechanic, 180_small_businesses)
HYPONYM(a_drawing, about_100_prehistoric_engravings)
HYPONYM(grammar, specialized_classes)
HYPONYM(stump_pond, neighborhoods)
HYPONYM(the_co-op, details)
HYPONYM(some_mock_commercials, italian_television)
HYPONYM(an_upgrade, business_travelers)
HYPONYM(fats_waller, jazz_legends)
HYPONYM(the_woman, several_witnesses)
HYPONYM(6_times, 26_times)
HYPONYM(the_election_reform_coalition, groups)
HYPONYM(family_court, social_services_architecture)
HYPONYM(the_united_states, 90_countries)
HYPONYM(shin_bones, smaller_bones)
HYPONYM(victoria_ocampo, literary_magazines)
HYPONYM(mr._spitzer, investigators)
HYPONYM(the_violist_paul_neubauer, chamber_music_society_regulars)
HYPONYM(khan_mohammad, afghan_officials)
HYPONYM(a_settlement, competitors)
HYPONYM(no., the_top_20_men)
HYPONYM(infineon, rivals)
HYPONYM(the_gulf_war, battles)
HYPONYM(mines, business_contacts)
HYPONYM(new_manufacturing, business_developments)
HYPONYM(relations, needed_work)
HYPONYM(johnson, other_companies)
HYPONYM(a_full_cupboard, several_factors)
HYPONYM(gleevec, a_genuinely_important_new_drug)
HYPONYM(drug_conspiracy, federal_charges)
HYPONYM(a_portal, only_three_start-ups)
HYPONYM(20,000_tundra_swans, the_pocosin_lakes_national_wildlife_refuge)
HYPONYM(the_chief_executive, nominees)
HYPONYM(some_firefighters, rescuers)
HYPONYM(telecommunications_equipment, applications)
HYPONYM(norridge_hospital, europe)
HYPONYM(data, information_packets)
HYPONYM(tax_reform, issues)
HYPONYM(france, least_15_countries)
HYPONYM(easyjet, successful_budget_carriers)
HYPONYM(iraqi_army, security_forces)
HYPONYM(lumera, several_others)
HYPONYM(many_managers, the_populist_mr._chávez)
HYPONYM(chemical, 10_critical_situations)
HYPONYM(the_practical_effects, the_regulatory_process)
HYPONYM(explosives, nasty_stuff)
HYPONYM(byte, some_urban_touches)
HYPONYM(an_office, several_outbuildings)
HYPONYM(nike, major_advertisers)
HYPONYM(interactive_programs, educational_efforts)
HYPONYM(moscow, major_centers)
HYPONYM(embattled_falluja, western_iraq)
HYPONYM(60_officials, international_observers)
HYPONYM(bicycles, all_mechanized_transport)
HYPONYM(steak, american_comfort_food)
HYPONYM(''illegal_contacts, nuclear_technology)
HYPONYM(mussels, seven_appetizers)
HYPONYM(great_rooms, more_space)
HYPONYM(coaches, many_people)
HYPONYM(police_chiefs, public_employees)
HYPONYM(cellular_phone_services, products)
HYPONYM(defense_minister_peter_struck, officials)
HYPONYM(the_rev._herbert_d._daughtry, supporters)
HYPONYM(the_patriot_act, bush_initiatives)
HYPONYM(cheap_tickets, the_travel_sector)
HYPONYM(gold_bangles, 100_pieces)
HYPONYM(wireimage, some_well-known_celebrity_photo_agencies)
HYPONYM(coca-cola, marketers)
HYPONYM(advertising, major_expenses)
HYPONYM(planned_suicide_bombings, attacks)
HYPONYM(the_international_community, world_leaders)
HYPONYM(possibly_death, health_problems)
HYPONYM(mexico, least_seven_countries)
HYPONYM(a_new_intensive-care_unit, capital_projects)
HYPONYM(the_state_department, federal_agencies)
HYPONYM(j._c._penney, clothing_manufacturers)
HYPONYM(corn_oil, natural_substances)
HYPONYM(112_marathons, perhaps_1,500_races)
HYPONYM(a_31-7_loss, big_games)
HYPONYM(gilded-wood_burmese_parinirvana_buddha, 27_items)
HYPONYM(a_cascade, set_pieces)
HYPONYM(explosives, illegal_arms)
HYPONYM(regional_governors, leaders)
HYPONYM(the_firing_mechanism, the_gun)
HYPONYM(obsessive-compulsive_disorder, psychiatric_problems)
HYPONYM(the_race, three_consecutive_victories)
HYPONYM(the_actions, various_ways)
HYPONYM(one_day, 1,000_goats)
HYPONYM(lowe, agencies)
HYPONYM(the_birkie, shorter_races)
HYPONYM(brain_research, technology)
HYPONYM(the_olympics, athletic_organizations)
HYPONYM(john_ahearn, artists)
HYPONYM(josé_cuervo_tequila, spirits_brands)
HYPONYM(the_delicious_wild_mushroom_strudel, the_mark)
HYPONYM(50_drawings, self-taught_american_artists)
HYPONYM(air_fare, expenses)
HYPONYM(the_socialite_denise_rich, manhattanites)
HYPONYM(one_death, abuses)
HYPONYM(duke, several_prestigious_schools)
HYPONYM(unicode, several_formats)
HYPONYM(hors_d'oeuvres, four-person_vip_packages)
HYPONYM(small-scale_food_producers, casualties)
HYPONYM(the_mcnally_brothers_restaurant, vietnam)
HYPONYM(typists, support_staff)
HYPONYM(the_chief_executive, senior_executives)
HYPONYM(blood, practical_laboratory_tests)
HYPONYM(ahmad_chalabi, best-known_political_figures)
HYPONYM(ralph_avenue, places)
HYPONYM(hillary_clinton, the_american_delegation)
HYPONYM(diagnostic_imaging, so-called_ancillary_services)
HYPONYM(spare_parts, the_station)
HYPONYM(a_12-foot-wide_chandelier, the_lighting)
HYPONYM(reckless_endangerment, seven_felonies)
HYPONYM(fox_news, cable_networks)
HYPONYM(the_plain_dealer, newspapers)
HYPONYM(the_american_medical_association, professional_groups)
HYPONYM(quote_approval, stipulations)
HYPONYM(large_sport_utility_vehicles, inefficient_vehicles)
HYPONYM(a_20_percent_increase, exports)
HYPONYM(a_dearth, many_ways)
HYPONYM(chairman, some_potentially_powerful_allies)
HYPONYM(volunteers, apparent_malfeasance)
HYPONYM(similar_neglect, shortcomings)
HYPONYM(investigations, possible_violations)
HYPONYM(shane_sellers, the_kentucky_derby)
HYPONYM(hunting_jackets, gear)
HYPONYM(various_facilities, research_hospitals)
HYPONYM(verizon_communications, some_major_telephone_companies)
HYPONYM(the_job, the_key_responsibilities)
HYPONYM(laws, the_books)
HYPONYM(watercolors, other_early_artworks)
HYPONYM(directv, satellite_companies)
HYPONYM(alternates, 26-29_event)
HYPONYM(oliver_knussen, composers)
HYPONYM(wallis, members)
HYPONYM(light_control, procedures)
HYPONYM(some_human_rights_groups, civic_groups)
HYPONYM(freshmen_composition, a_semester)
HYPONYM(a_stretch, all_weekend)
HYPONYM(the_world_premiere, everyone)
HYPONYM(max_steiner, renowned_composers)
HYPONYM(james_p._craig_iii, biggest_stars)
HYPONYM(revenge_killings, strife)
HYPONYM(expedia, online_travel_companies)
HYPONYM(negligent_homicide, serious_charges)
HYPONYM(assertions, mr._norman)
HYPONYM(an_american, six_people)
HYPONYM(surf_fishers, soft-focus_images)
HYPONYM(polyester_pants, garment_imports)
HYPONYM(a_center, other_states)
HYPONYM(the_cemetery_giant, a_dozen_trees)
HYPONYM(music, a_piano_recital)
HYPONYM(the_cold_weather, several_reasons)
HYPONYM(ernie_els, top_players)
HYPONYM(a_$25_million_gift, new_gifts)
HYPONYM(fish_eggs, foods)
HYPONYM(laura_dean, choreographers)
HYPONYM(hospitals, health_care_organizations)
HYPONYM(blind_dates, important_rendezvous)
HYPONYM(efforts, iraqi_military-industrialization_programs)
HYPONYM(rosa_maria, an_unnamed_ship)
HYPONYM(a_cardinal, religious_figures)
HYPONYM(benicio_del_toro, customers)
HYPONYM(affirmative_action, various_issues)
HYPONYM(mr._huq, clothing_makers)
HYPONYM(lionel_trilling, some_former_contributors)
HYPONYM(the_combination, dialectical_therapy)
HYPONYM(other_communities, cities)
HYPONYM(large_car, iraq)
HYPONYM(disney, best_picture)
HYPONYM(keystone, many_resorts)
HYPONYM(latin_pop, previous_architectural_excesses)
HYPONYM(a_dozen, nobel_peace_prize_winners)
HYPONYM(one_friday_night, several_agents)
HYPONYM(the_fox_news_anchor, people)
HYPONYM(account_losses, difficulties)
HYPONYM(mr._shvo, some_brokers)
HYPONYM(a_year, government_leaders)
HYPONYM(bob_hope, the_greats)
HYPONYM(this_week, spanish_law_enforcement_officials)
HYPONYM(the_restoration, civic_campaigns)
HYPONYM(a_talk, panel_discussions)
HYPONYM(pensions, nondiscretionary_spending)
HYPONYM(the_drummer_phil_callender, that_occasion)
HYPONYM(new_york, big_northeast)
HYPONYM(abu_ghraib, sites)
HYPONYM(gay, this_week)
HYPONYM(the_blessings, spiritual_needs)
HYPONYM(an_accusation, the_campaign_trail)
HYPONYM(rainfall, environmental_data)
HYPONYM(bouillabaisse, regional_france)
HYPONYM(some_republicans, other_lawmakers)
HYPONYM(retrospectives, nearly_80_exhibitions)
HYPONYM(kaiser_permanente, several_managed_care_companies)
HYPONYM(even_architecture, social_sciences)
HYPONYM(15_million_books, 43_million_items)
HYPONYM(a_flagship_store, china)
HYPONYM(stoats, predators_''do)
HYPONYM(john_kearney, investors)
HYPONYM(the_crisis, events)
HYPONYM(commerce, associated_spending)
HYPONYM(swing, american_genres)
HYPONYM(backhoes, heavy_equipment)
HYPONYM(ericsson, large_equipment_companies)
HYPONYM(the_central_intelligence_agency, places)
HYPONYM(the_southern_environmental_law_center, the_advocacy_groups)
HYPONYM(shopping_information, the_general_web)
HYPONYM(the_attacks, the_bombings)
HYPONYM(mr._wolfowitz, pentagon_officials)
HYPONYM(gun_oil, debris)
HYPONYM(butter, fine_foods)
HYPONYM(the_civic, a_year)
HYPONYM(five_pitchers, twenty-two_rookies)
HYPONYM(paulsboro, new_jersey)
HYPONYM(meat_racks, needs)
HYPONYM(mr._spitzer, these_investigations)
HYPONYM(personal_injury, claims)
HYPONYM(california, west_coasts)
HYPONYM(edgar_bronfman_jr., investors)
HYPONYM(two_dozen, community_groups)
HYPONYM(tony_cragg, contemporary_sculptors)
HYPONYM(qwest, long-haul_fiber_carriers)
HYPONYM(the_first_section, 16_works)
HYPONYM(a_coin_box_collector, four_bronx_men)
HYPONYM(the_schomburg_center, the_research_libraries)
HYPONYM(officials, 160_members)
HYPONYM(posters, assorted_book_ephemera)
HYPONYM(cameras, sensitive_equipment)
HYPONYM(philip_morris, companies)
HYPONYM(bryant, other_players)
HYPONYM(originality, suggested_criteria)
HYPONYM(yellow-billed_loons, migratory_birds)
HYPONYM(video_clips, media)
HYPONYM(chronic_fatigue_syndrome, illnesses)
HYPONYM(digital_photographs, the_last_applications)
HYPONYM(waiters, pomodoro_regulars)
HYPONYM(taye_diggs, original_cast)
HYPONYM(lengthy_depositions, litigation)
HYPONYM(the_united_nations, the_usual_sights)
HYPONYM(continental_breakfast_monday, $180_double_occupancy)
HYPONYM(half, all_retirees)
HYPONYM(beyoncé, ''celebrity_entrepreneur-designers)
HYPONYM(ramzi_bin_al-shibh, several_qaeda_members)
HYPONYM(corporate_e-mail, any_standard_account)
HYPONYM(the_bank, institutions)
HYPONYM(jacobs, the_allegations)
HYPONYM(backlog, faulty_data)
HYPONYM(replacement_kidneys, organs)
HYPONYM(picnic_groves, facilities)
HYPONYM(the_bud_light_spots, the_super_bowl)
HYPONYM(t._g._i._friday, three_chain_restaurants)
HYPONYM(mr._ridge, senior_bush_administration_officials)
HYPONYM(anne_sweeney, 12_senior_executives)
HYPONYM(holsters, military_kit)
HYPONYM(bearer_bonds, desirable_items)
HYPONYM(late_next_year, planned_locations)
HYPONYM(an_interim_president, several_new_managers)
HYPONYM(a_tax_credit, many_new_tax_breaks)
HYPONYM(a_see-through_outfit, distinctive_fashion_statements)
HYPONYM(ge_capital, creditors)
HYPONYM(limited-edition_lithographs, fine_art)
HYPONYM(the_mavericks, the_championship)
HYPONYM(thomas_j._miller, supporters)
HYPONYM(specialist_mckinley, four_oregon_guardsmen)
HYPONYM(same-sex_marriage, two_issues)
HYPONYM(emergencies, special_situations)
HYPONYM(the_watercolors, the_handmade_ones)
HYPONYM(only_10_games, n._b._a._career)
HYPONYM(armories, emergency_sites)
HYPONYM(loras_college, the_approach)
HYPONYM(sedges, wetland_plants)
HYPONYM(documents, other_factors)
HYPONYM(a_below-ground_parking_garage, 730,000_square_feet)
HYPONYM(dubai, persian_gulf_locations)
HYPONYM(acorn, community_groups)
HYPONYM(the_number, many_issues)
HYPONYM(the_criticism, the_reports)
HYPONYM(this_place, brooklyn)
HYPONYM(neighborhoods, big_businesses)
HYPONYM(dorm_room_beds, a_night)
HYPONYM(mr._saldaña, cleaners)
HYPONYM(entertainment_companies, organizations)
HYPONYM(the_skin, transplanted_organs)
HYPONYM(mr._tsvangirai, critics)
HYPONYM(evidence, many_other_factors)
HYPONYM(creative_duties, the_account)
HYPONYM(mr._mccotter, officials)
HYPONYM(the_democratic_rank, supporters)
HYPONYM(regular_joint_helicopter_drills, exercises)
HYPONYM(sergey_brin, google)
HYPONYM(laundry_rooms, spaces)
HYPONYM(more_computers, technology)
HYPONYM(homeland_security, programs)
HYPONYM(cablevision, major_cable_operators)
HYPONYM(ken_lay, financial_backers)
HYPONYM(savory_beef, stuffings)
HYPONYM(cricket, six_sports)
HYPONYM(ms._anderson, opponents)
HYPONYM(john_lautner, palm_springs_architects)
HYPONYM(asthma, male_inmates)
HYPONYM(the_oldest_lighthouse, stony_point)
HYPONYM(china, evocative_ports)
HYPONYM(tuesday-to-sunday_engagements, present_nightly_shows)
HYPONYM(a_consolidation, sales)
HYPONYM(senator_joseph_m._kyrillos_jr., next_year)
HYPONYM(the_locations, social_activism)
HYPONYM(secretary_ann_m._veneman, the_agriculture_department)
HYPONYM(daily_newspaper, a_double_room)
HYPONYM($3.8, the_senate)
HYPONYM(jamie_foxx, black_entertainers)
HYPONYM(the_war, the_real_world)
HYPONYM(heart_troubles, woes)
HYPONYM(president_bush, senior_officials)
HYPONYM(new_york_city, liberal_enclaves)
HYPONYM(the_meridian, contemporary_music)
HYPONYM(banda_aceh, disaster_zones)
HYPONYM(wertheim_national_wildlife_refuge, some_areas)
HYPONYM(broadway_shows, performances)
HYPONYM(tin_pan_alley, vernacular_music)
HYPONYM(a_visit, ariz.)
HYPONYM(black_voters, minorities)
HYPONYM(the_smudge-resistant_finish, innovation)
HYPONYM(individual_retirement_accounts, savings_vehicles)
HYPONYM(newport, concert_venues)
HYPONYM(either_u._n._employees, foreigners)
HYPONYM(white_house_phone_logs, records)
HYPONYM(a_longer_term, facilities)
HYPONYM(foreign_news_coverage, the_release)
HYPONYM(stravinsky, musical_luminaries)
HYPONYM(the_15,000_steel_bases, materials)
HYPONYM(harry_s._pozycki, several_witnesses)
HYPONYM(great_egret, waterfowl)
HYPONYM(fla., professionals_counsel_brokers)
HYPONYM(peaches, australian_glacé_fruit)
HYPONYM(mansions, modern_buildings)
HYPONYM(the_brothers, corporate_cost-saving_measures)
HYPONYM(the_kansas_missionary_martin_burnham, two_hostages)
HYPONYM(art_galleries, more_sparkling_storefronts)
HYPONYM(switzerland, nine_industrialized_democracies)
HYPONYM(democrat, federal_lawmakers)
HYPONYM(mr._yuraszeck, private_owners)
HYPONYM(conservationists, that_nobody)
HYPONYM(jeans_companies, other_sponsors)
HYPONYM(gorillas, primate_species)
HYPONYM(best_new_courses, best_courses)
HYPONYM(''were_subcontractors, the_cottage)
HYPONYM(palm, hand-held_makers)
HYPONYM(grape_seed, neutral_oil)
HYPONYM(mcdonald, restaurants)
HYPONYM(errant_service, age)
HYPONYM(zulu_praise_poetry, local_traditions)
HYPONYM(the_new_streets, projects)
HYPONYM(the_lab, four_men)
HYPONYM(the_united_states, nuclear_powers)
HYPONYM(lakes, open_terrain)
HYPONYM(more_investigative_powers, officials)
HYPONYM(the_united_nations, foreign_aid_agencies)
HYPONYM(payroll_taxes, more_taxes)
HYPONYM(intellectuals, serious_readers)
HYPONYM(rental_cars, travel_products)
HYPONYM(fertilizer, farming_costs)
HYPONYM(machu_picchu, andean_sites)
HYPONYM(family_retreats, steps)
HYPONYM(hospital_beds, medical_equipment)
HYPONYM(malnutrition, preventable_diseases)
HYPONYM(amgen, companies)
HYPONYM(busy_lives, worries)
HYPONYM(the_global_relief_foundation, groups)
HYPONYM(private_funds, five_years)
HYPONYM(greek, many_languages)
HYPONYM(chocolate_genius, performers)
HYPONYM(the_new_york, the_northeast)
HYPONYM(mr._blum, others)
HYPONYM(the_president, co-chief_executive)
HYPONYM(commercially_available_ones, programs)
HYPONYM(h._d._l., blood_lipids)
HYPONYM(summer_vacations, distractions)
HYPONYM(sarasota, florida_areas)
HYPONYM(entrance_charges, merchandising)
HYPONYM(cartridge_belts, military_kit)
HYPONYM(surveys, research_habits)
HYPONYM(an_overhead_projector, odds)
HYPONYM(photographs, printed_matter)
HYPONYM(the_city_university, local_universities)
HYPONYM(eli_lilly, self-insured_employers)
HYPONYM(lust, the_casual_lunch_spots)
HYPONYM(overhead_costs, expenses)
HYPONYM(will_jordan, actors)
HYPONYM(jane_freilicher, friends)
HYPONYM(a_$25_billion_partial_payment, a_$416_pentagon_spending_bill)
HYPONYM(hexogen, modern_explosives)
HYPONYM(cruise_control, more_features)
HYPONYM(the_way_pork_bellies, commodities)
HYPONYM(glenn_close, actors)
HYPONYM(checks, 8_patterns)
HYPONYM(select_printers, hardware)
HYPONYM(rubber_bands, unusual_materials)
HYPONYM(insurgents, skeptical_iraqis)
HYPONYM(the_beheading, this_base)
HYPONYM(fields, open_spaces)
HYPONYM(major_newspapers, news_organizations)
HYPONYM(some_industry_executives, almost_everyone)
HYPONYM(an_art_center, new_buildings)
HYPONYM(bomb_detonators, such_evidence)
HYPONYM(donald_j._trump, landlords)
HYPONYM(ocean_water, contaminants)
HYPONYM(loan_guarantees, subsidies)
HYPONYM(realrhapsody, services)
HYPONYM(several_urologists, specialists)
HYPONYM(the_holocaust, examples)
HYPONYM(antonin_dvorak, prominent_czechs)
HYPONYM(organs, now-irreparable_conditions)
HYPONYM(tips, other_information)
HYPONYM(a_''critical_mass, demonstrations)
HYPONYM(theresa_lepore, election_officials)
HYPONYM(time_warner_cable, cable_providers)
HYPONYM(witnesses, other_evidence)
HYPONYM(the_winner, all_team_members)
HYPONYM(the_israeli_military, four_israeli_civilians)
HYPONYM(a_dozen, victims)
HYPONYM(dance, cultural_responses)
HYPONYM(twigs, allergy-inducing_materials)
HYPONYM(internal_systems, several_standpoints)
HYPONYM(holland_h._coors, allies)
HYPONYM(mr._goldner, executives)
HYPONYM(scott_hart, novels)
HYPONYM(some_crucial_ones, the_ministries)
HYPONYM(full_production, contemporary_style)
HYPONYM(strenuous_activity, stresses)
HYPONYM(a_turnover_rate, serious_systemic_problems)
HYPONYM(aircraft, military_equipment)
HYPONYM(paul_mccartney, pop_stars)
HYPONYM(two_commissioner_positions, county_offices)
HYPONYM(bravo, cable_outlets)
HYPONYM(powerbar, sponsors)
HYPONYM(morning_tea, a_half_hours)
HYPONYM(ms._fariña, officials)
HYPONYM(shawn_crawford, 10_seconds)
HYPONYM(some_famous_names, men)
HYPONYM(polling, political_expenses)
HYPONYM(republican_cuban-american_lawmakers, adherents)
HYPONYM(ishe_smith, the_sobriquet_contender)
HYPONYM(south_african_storytellers, entertainment)
HYPONYM(maryland, a_dozen_states)
HYPONYM(parts, malaysian_exports)
HYPONYM(student_turnover, issues)
HYPONYM(writers, western_women)
HYPONYM(mr._mankiw, former_students)
HYPONYM(france, large_creditor_nations)
HYPONYM(city_officials, experts)
HYPONYM(mr._tartaglio, workers)
HYPONYM(the_baltimore_sun, papers)
HYPONYM(the_4_delay_children, the_alleged_victims)
HYPONYM(italy, several_nato_members)
HYPONYM(seven_siblings, family_members)
HYPONYM(james_watson, the_previous_robert_moses_master_builder_award_recipients)
HYPONYM(cablevision, companies)
HYPONYM(''what, business)
HYPONYM(clotilde_luce, an_appeal)
HYPONYM(time, suggested_criteria)
HYPONYM(china, major_trading_partners)
HYPONYM(wade, court_rulings)
HYPONYM(the_even_larger_roxy, greatest_movie_theaters)
HYPONYM(advanced_technologies, financial_measurements)
HYPONYM(several_korean_composers, others)
HYPONYM(bills, the_senate)
HYPONYM(a_combat-stress_assistant, army_experts)
HYPONYM(stage_manager, several_capacities)
HYPONYM(a_slot-heavy_casino, a_few_attempts)
HYPONYM(the_tactic, violence)
HYPONYM(navy_seals-type_training, recent_years)
HYPONYM(barter, novel_financing_arrangements)
HYPONYM(cincinnati, 10_cities)
HYPONYM(poverty, many_social_justice_issues)
HYPONYM(a_pitcher, everything)
HYPONYM(the_latest_''fancy_bumping, britain)
HYPONYM(5,000_members, roughly_30,000_others)
HYPONYM(fuel, support_positions)
HYPONYM(steven_ippolito, composers)
HYPONYM(gordon, the_top_20_distilled_spirits)
HYPONYM(tuesday_night, this_season)
HYPONYM(mr._tafoya, 16_pilots)
HYPONYM(general_sanchez, the_brigade_level)
HYPONYM(defense_secretary_donald_h._rumsfeld, senior_pentagon_officials)
HYPONYM(116_pages, the_567-page_report)
HYPONYM(19th-century_gingerbread_confections, early_18th-century_shingle_buildings)
HYPONYM(accounting_issues, problems)
HYPONYM(ms._mcmahon, that_demonstration)
HYPONYM(an_option_year, the_deal)
HYPONYM(the_federal_election_commission_show_apartment_buildings, addresses)
HYPONYM(that_traffic, conditions)
HYPONYM(e._coli, nasty_bacteria)
HYPONYM(director, the_main_event)
HYPONYM(the_chief_financial_officer, almost_20_top_managers)
HYPONYM(four_suites, 26_rooms)
HYPONYM(a_1-point_loss, three_straight_games)
HYPONYM(michael_jordan, any_other_sports_celebrity)
HYPONYM(nose_cartilage, a_face)
HYPONYM(suspensions, disciplinary_problems)
HYPONYM(koito_industries, four_japanese_manufacturers)
HYPONYM(moscow, the_world)
HYPONYM(a_corruption_inquiry, legal_difficulties)
HYPONYM(mattress_brands, account)
HYPONYM(james_walker, residents)
HYPONYM(the_federal_bureau, overhaul)
HYPONYM(pesticides, hazardous_materials)
HYPONYM(''trading, 15_books)
HYPONYM(f._b._i., terrorism)
HYPONYM(mr._favors, members)
HYPONYM(mr._peterson, three_professors)
HYPONYM(democratic_party_fund-raisers, investors)
HYPONYM(multiple_vintages, 600_wines)
HYPONYM(the_waikele_shopping_center, the_last_14_months)
HYPONYM(picasso, 20th-century_luminaries)
HYPONYM(international_organizations, those_groups)
HYPONYM(nine_public-relations_jobs, county_offices)
HYPONYM(m._b._a., graduate_degrees)
HYPONYM(bloopers, assorted_footage)
HYPONYM(the_1978_nobel_prize, awards)
HYPONYM(travelzoo, the_travel_sector)
HYPONYM(the_indian_national_award, india)
HYPONYM(the_$3_guinnesses, the_neighborhood)
HYPONYM(airport_shuttles, vehicles)
HYPONYM(the_models_dorian_leigh, the_20th_century)
HYPONYM(the_documentary_filmmaker, the_board)
HYPONYM(three_american_security_contractors, least_10_people)
HYPONYM(a_data_memory_chip, new_products)
HYPONYM(derek_walcott, nobel_laureates)
HYPONYM(a_daughter, three_children)
HYPONYM(many_instances, antiquity)
HYPONYM(the_location, charter_schools)
HYPONYM(saint_laurent, the_group)
HYPONYM(the_poles, contingents)
HYPONYM(pension_payments, steps)
HYPONYM(liam_neeson, stars)
HYPONYM(trinidad, many_places)
HYPONYM(australia, distant_posts)
HYPONYM(safe_houses, logistical_support)
HYPONYM(religious_groups, others)
HYPONYM(the_very_skittish_terns, the_season)
HYPONYM(a_dozen, allies)
HYPONYM(some_prominent_sports_sponsorships, marketing)
HYPONYM(football, sporting_events)
HYPONYM(john_walker_lindh, tablighi_jamaat_alumni)
HYPONYM(acetaminophen, all_over-the-counter_painkillers)
HYPONYM(cookies, carbohydrate-rich_foods)
HYPONYM(the_painted_version, progress)
HYPONYM(the_europa, hotels)
HYPONYM(colt_firearms, war-related_industries)
HYPONYM(pottery, handmade_american_indian_items)
HYPONYM(fishtail_palms, tropical_plants)
HYPONYM(moldova, former_soviet_republics)
HYPONYM(yihya_majadin_adams, several_aliases)
HYPONYM(the_dove, chocolate_products)
HYPONYM(the_great_atlantic, supermarket_companies)
HYPONYM(the_novels_''childhood, nonfiction)
HYPONYM(the_flightless_ducks, ground-nesting_birds)
HYPONYM(midway, less-known_brands)
HYPONYM(a_couple, lucrative_opportunities)
HYPONYM(minimum_purchase_contracts, government_mechanisms)
HYPONYM(the_endangered_black-faced_spoonbill, migratory_birds)
HYPONYM(the_1907_decorative_lobby_frieze, original_elements)
HYPONYM(lebanon, 75_countries)
HYPONYM(a_moribund_real_estate_market, a_decade)
HYPONYM(renewed_efforts, the_middle_east)
HYPONYM(the_possibility, the_two_countries)
HYPONYM(the_path_train, ways)
HYPONYM(new_rochelle, connecticut)
HYPONYM(astronomers, sky_enthusiasts)
HYPONYM(listeners, d._j.)
HYPONYM(strong_labor_unions, resistance)
HYPONYM(movies, all_divisions)
HYPONYM(five_consecutive_losses, oklahoma)
HYPONYM(the_author, doubters)
HYPONYM(a_former_director, prominent_government_figures)
HYPONYM(wide_receiver_terrell_owens, roster)
HYPONYM(a_plumber, 10_harlem_businesses)
HYPONYM(toyota, automakers)
HYPONYM(the_alliance_defense_fund, same-sex_marriage)
HYPONYM(cost_estimates, analysis)
HYPONYM(the_following, essay_questions)
HYPONYM(arthur_spada, transportation_officials)
HYPONYM(sinister_g, the_belmont)
HYPONYM(''millions, the_equatorial_guinean_accounts)
HYPONYM(the_late_nobel_laureate_czeslaw_milosz, some_good_company)
HYPONYM(security_screening, monitoring_responsibilities)
HYPONYM(many_others, guest_artists)
HYPONYM(pennsylvania, 13_states)
HYPONYM(on_being_born, difficulties)
HYPONYM(college_scholarships, services)
HYPONYM(cooking_fires, travelers)
HYPONYM(2.5_million_lower-income_buyers, 8_million_new_homeowners)
HYPONYM(25_authentic_20th-century_military_tanks, armored_vehicles)
HYPONYM(a_home, own_american_dream_story)
HYPONYM(the_teamsters, 18_industrial_unions)
HYPONYM(the_candlesticks, many_other_pieces)
HYPONYM(audiologists, licensed_hearing_aid_dispensers)
HYPONYM(the_staff, patients)
HYPONYM(the_fish, organic_matter)
HYPONYM(power, essential_services)
HYPONYM(other_apparel, textiles)
HYPONYM(canon, technology-related_companies)
HYPONYM(''low-single-digit_revenue_growth, full-year_estimates)
HYPONYM(nissan_motor, automakers)
HYPONYM(the_''keystones, biology)
HYPONYM(the_european_union_states, 18_countries)
HYPONYM(fidelity, 46_financial_companies)
HYPONYM(several_apparent_efforts, recent_days)
HYPONYM(track, airline_sales)
HYPONYM(day_traders, individuals)
HYPONYM(some_palestinian_reformers, politicians)
